*test
沢村ORZ    嘿嘿
www  xzve

*ダイヤのA 新シリーズ



沢村栄純    逢坂良太
降谷暁    島﨑信長
御幸一也    櫻井孝宏
小湊春市    花江夏樹
結城哲也    細谷佳正
倉持洋一    浅沼晋太郎
伊佐敷純    小野友樹
滝川・クリス・優    浪川大輔
丹波光一郎    森田成一
小湊亮介    岡本信彦
川上憲史    下野紘
増子透    羽多野渉
金丸信二    松岡禎丞
東清国    檜山修之
高島礼    内山夕実
片岡鉄心    東地宏樹




*グリザイアの迷宮



風見雄二    櫻井孝宏
榊由美子    田中涼子
周防天音    田口宏子
松嶋みちる    水橋かおり
入巣蒔菜    たみやすともえ
小嶺幸    清水愛





*フューチャーカード バディファイト100


未門牙王    水野麻里絵
ドラムバンカー・ドラゴン    大畑伸太郎
宇木くぐる    佐々木未来
ナレーション    マーク大喜多
大盛爆    森嶋秀太
奈々菜パル子    徳井青空
黒岳テツヤ    山本和臣
氷竜キリ    愛美
アスモダイ    太田哲治
龍炎寺タスク    斉藤壮馬
如月斬夜    斎賀みつき
祠堂孫六    財満健太
富士宮風音    本多真梨子
如月暁    三森すずこ
荒神ロウガ    広田みのる
ソフィア・サハロフ    能登麻美子
虎堂ノボル    橘田いずみ
葱ノ山一束    江原正士
禍津ジン    浅利遼太
轟鬼ゲンマ    三宅健太
天野鈴鈴羽    高橋美佳子
未門花子    三森すずこ
未門涼実    寺田はるひ
ジャックナイフ・ドラゴン    安元洋貴
土合突男    木内秀信
キャッスル店長    木内秀信
霧雨正雪    藤堂真衣
コマンダーI    高木渉
未門隆川原慶久
エル・キホーテ    陶山章央
ステラ・ワトソン    寺田はるひ
真間雁メグミ    橘田いずみ
舞浜カクモ    村瀬歩
新井谷ライタ    黒沢寿樹
月影    藤堂真衣
火星人UFOタコ助    小池ゆき
滝原剣    川原慶久
山崎ダビデ    陶山章央
執事セバスチャン    森訓久
サウザンドレイピア・ドラゴン    寺島惇太


*トランスフォーマーアドベンチャー



バンブルビー    木村良平
オプティマスプライム    楠大典
ストロングアーム    近藤唯
サイドスワイプ    濱野大輝
フィクシット    松浦義之
グリムロック    山橋正臣
ラッセル    村中知
デニー    北田理道


*ふなっしーのふなふなふな日和


ふなっしー    ふなっしー
ぐれっしー    Lynn
梨神様    龍田直樹



*バトルスピリッツ烈火魂＜バーニングソウル＞


烈火幸村    山下誠一郎
黒田環奈    山下七海
暁佐助    金田アキ
